id,user,deci,sex,age,kno1,kno2,kno3,kno4,kno5,kno6,kno7,kno8,inno,att1,att2,att3,att4,att5,att6,att7,att8,interest,re_att1,re_att2,re_att3,re_att4,re_att5,re_att6,re_att7,re_att8,re_kno1,re_kno2,re_kno3,re_kno4,re_kno5,re_kno6,re_kno7,re_kno8,attitude,knowledge
1,regular residence,2,female,43,1,1,1,1,1,1,1,1,early majority,2,3,3,1,3,3,3,3,probably not,1,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,1.625,0
2,regular residence,2,female,51,1,1,1,1,1,1,1,1,laggards,4,4,3,3,2,2,2,1,definitely not,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1.625,0
3,regular residence,2,male,28,4,4,4,4,2,3,4,2,early adopters,2,5,5,3,4,5,4,4,likely to,1,4,4,2,3,4,3,3,3,3,3,3,1,2,3,1,3,2.375
4,regular residence,2,female,32,1,1,1,1,1,1,1,1,late majority,3,4,4,4,5,5,4,3,probably will,2,3,3,3,4,4,3,2,0,0,0,0,0,0,0,0,3,0
5,regular residence,2,male,38,4,4,4,3,3,3,3,4,innovators,4,4,4,3,5,5,5,3,likely to,3,3,3,2,4,4,4,2,3,3,3,2,2,2,2,3,3.125,2.5
6,regular residence,2,male,51,1,1,1,1,1,1,1,1,early adopters,5,5,3,2,5,5,5,4,definitely going to,4,4,2,1,4,4,4,3,0,0,0,0,0,0,0,0,3.25,0
7,regular residence,2,female,19,1,2,2,2,2,2,2,1,early majority,2,2,3,2,3,4,3,3,definitely not,1,1,2,1,2,3,2,2,0,1,1,1,1,1,1,0,1.75,0.75
8,regular residence,2,male,37,1,1,1,1,1,1,1,1,laggards,4,4,4,4,5,5,5,5,probably will,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,3.5,0
10,regular residence,2,female,62,1,1,2,1,1,1,1,1,late majority,3,4,4,2,4,4,3,3,probably will,2,3,3,1,3,3,2,2,0,0,1,0,0,0,0,0,2.375,0.125
11,regular residence,2,male,44,5,2,2,3,3,2,2,2,early adopters,5,5,5,5,5,5,5,5,probably will,4,4,4,4,4,4,4,4,4,1,1,2,2,1,1,1,4,1.625
12,regular residence,2,female,24,5,5,4,4,5,5,5,5,early adopters,5,5,5,5,5,5,5,5,definitely not,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3.75
13,regular residence,2,male,43,4,3,4,3,3,3,4,4,innovators,4,5,5,4,4,4,4,5,likely to,3,4,4,3,3,3,3,4,3,2,3,2,2,2,3,3,3.375,2.5
15,regular residence,2,male,37,1,1,1,1,1,1,1,1,laggards,4,2,4,4,4,4,4,2,probably not,3,1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,2.5,0
16,small residence,2,female,25,2,1,1,1,3,1,1,1,late majority,2,5,5,5,4,4,5,3,probably will,1,4,4,4,3,3,4,2,1,0,0,0,2,0,0,0,3.125,0.375
17,regular residence,2,female,30,1,1,1,1,1,1,1,1,laggards,3,3,3,3,3,3,3,3,definitely not,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0
19,regular residence,2,female,36,3,2,2,2,2,2,2,1,early majority,3,3,3,3,3,4,3,3,probably not,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,0,2.125,1
20,small residence,2,female,40,2,2,3,2,2,2,2,2,late majority,4,4,4,3,4,5,5,4,probably not,3,3,3,2,3,4,4,3,1,1,2,1,1,1,1,1,3.125,1.125
21,regular residence,2,female,35,1,1,1,1,1,1,1,1,late majority,3,4,5,4,5,4,4,3,probably will,2,3,4,3,4,3,3,2,0,0,0,0,0,0,0,0,3,0
22,regular residence,2,male,47,3,1,5,5,5,5,5,1,early majority,1,1,1,1,3,1,1,1,definitely not,0,0,0,0,2,0,0,0,2,0,4,4,4,4,4,0,0.25,2.75
23,regular residence,2,female,31,2,1,1,1,1,1,2,1,laggards,3,4,4,2,5,4,4,5,probably will,2,3,3,1,4,3,3,4,1,0,0,0,0,0,1,0,2.875,0.25
24,regular residence,2,female,27,2,3,4,3,4,4,4,4,late majority,3,5,3,4,3,4,4,4,probably will,2,4,2,3,2,3,3,3,1,2,3,2,3,3,3,3,2.75,2.5
25,regular residence,2,male,60,2,1,1,1,2,1,1,1,late majority,2,5,5,2,3,5,5,3,probably will,1,4,4,1,2,4,4,2,1,0,0,0,1,0,0,0,2.75,0.25
26,small residence,2,female,35,1,1,1,1,1,1,1,1,early majority,3,4,3,3,4,4,4,4,likely to,2,3,2,2,3,3,3,3,0,0,0,0,0,0,0,0,2.625,0
27,regular residence,2,female,37,1,1,1,1,1,1,1,1,laggards,3,4,4,3,4,4,3,3,probably not,2,3,3,2,3,3,2,2,0,0,0,0,0,0,0,0,2.5,0
28,regular residence,2,female,45,3,4,4,4,4,4,4,3,early adopters,4,3,4,3,4,4,4,4,probably not,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2.75,2.75
29,regular residence,2,female,69,3,2,3,3,3,4,3,3,late majority,3,3,3,3,4,4,4,4,probably will,2,2,2,2,3,3,3,3,2,1,2,2,2,3,2,2,2.5,2
32,regular residence,2,female,65,1,1,1,1,1,1,1,1,laggards,4,5,5,4,5,4,5,3,probably not,3,4,4,3,4,3,4,2,0,0,0,0,0,0,0,0,3.375,0
33,regular residence,2,male,50,4,4,4,4,4,4,4,3,early majority,4,4,4,3,4,4,4,3,probably not,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2.75,2.875
34,regular residence,2,female,47,2,2,2,2,2,2,2,2,early majority,2,3,3,3,4,4,4,3,probably will,1,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,2.25,1
35,small residence,2,female,25,5,5,5,3,4,3,5,4,late majority,4,4,4,3,4,4,5,5,likely to,3,3,3,2,3,3,4,4,4,4,4,2,3,2,4,3,3.125,3.25
36,small residence,2,female,30,1,1,1,1,1,1,1,1,laggards,2,2,1,2,1,2,3,3,definitely not,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0
37,small residence,2,female,35,1,1,1,1,1,1,1,1,late majority,3,3,2,2,2,4,4,2,likely to,2,2,1,1,1,3,3,1,0,0,0,0,0,0,0,0,1.75,0
38,regular residence,2,female,57,2,1,1,1,1,1,1,1,early majority,3,3,4,4,5,5,5,2,probably will,2,2,3,3,4,4,4,1,1,0,0,0,0,0,0,0,2.875,0.125
39,regular residence,2,male,59,3,1,1,1,1,1,1,1,early majority,2,5,5,4,5,5,5,4,definitely going to,1,4,4,3,4,4,4,3,2,0,0,0,0,0,0,0,3.375,0.25
41,small residence,2,male,26,1,1,1,1,1,1,1,1,early adopters,2,2,2,2,3,3,3,4,probably will,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0,1.625,0
42,small residence,2,female,43,1,1,1,1,1,1,1,1,late majority,1,5,5,3,5,4,5,4,definitely not,0,4,4,2,4,3,4,3,0,0,0,0,0,0,0,0,3,0
43,regular residence,2,not answer,23,4,3,3,4,4,4,4,4,early adopters,4,4,5,3,4,4,4,5,probably will,3,3,4,2,3,3,3,4,3,2,2,3,3,3,3,3,3.125,2.75
44,regular residence,2,female,59,2,2,2,2,2,2,2,2,early adopters,1,1,1,1,1,1,1,1,probably not,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
45,regular residence,2,male,65,4,3,4,3,3,3,4,4,early majority,5,5,4,5,5,5,5,5,definitely going to,4,4,3,4,4,4,4,4,3,2,3,2,2,2,3,3,3.875,2.5
46,small residence,2,female,33,1,1,1,1,1,1,1,1,late majority,5,5,4,3,5,5,4,4,probably will,4,4,3,2,4,4,3,3,0,0,0,0,0,0,0,0,3.375,0
47,regular residence,2,female,39,1,1,1,1,3,1,1,1,early majority,4,3,5,1,4,4,4,4,probably not,3,2,4,0,3,3,3,3,0,0,0,0,2,0,0,0,2.625,0.25
48,regular residence,2,female,31,1,1,1,1,1,1,1,1,early majority,3,3,2,1,1,1,3,1,probably will,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.875,0
49,small residence,2,female,56,1,1,1,1,1,1,1,1,early majority,2,2,2,2,2,2,2,2,probably not,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
50,regular residence,2,female,38,1,1,1,1,4,1,1,2,late majority,5,5,3,3,5,5,5,4,probably will,4,4,2,2,4,4,4,3,0,0,0,0,3,0,0,1,3.375,0.5
51,small residence,2,female,25,1,3,3,3,4,3,4,4,early majority,4,5,4,3,5,5,4,4,probably will,3,4,3,2,4,4,3,3,0,2,2,2,3,2,3,3,3.25,2.125
52,regular residence,2,female,50,2,1,2,3,1,1,1,1,laggards,1,5,5,3,3,5,5,5,probably will,0,4,4,2,2,4,4,4,1,0,1,2,0,0,0,0,3,0.5
54,regular residence,2,male,60,2,1,1,2,1,1,1,1,late majority,3,2,2,2,2,2,3,2,probably will,2,1,1,1,1,1,2,1,1,0,0,1,0,0,0,0,1.25,0.25
55,small residence,2,female,53,1,1,1,1,1,1,1,1,laggards,1,1,1,1,1,5,4,3,probably will,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,1.125,0
56,regular residence,2,female,36,1,1,1,1,1,1,1,1,early majority,3,3,4,3,3,4,4,3,definitely not,2,2,3,2,2,3,3,2,0,0,0,0,0,0,0,0,2.375,0
57,regular residence,2,female,26,3,4,4,4,5,5,5,5,late majority,3,3,3,3,5,3,3,4,definitely not,2,2,2,2,4,2,2,3,2,3,3,3,4,4,4,4,2.375,3.375
59,small residence,2,female,31,2,1,1,1,3,1,1,2,laggards,4,5,3,1,1,2,5,5,probably will,3,4,2,0,0,1,4,4,1,0,0,0,2,0,0,1,2.25,0.5
60,regular residence,2,female,50,2,2,2,2,2,2,2,2,late majority,2,3,3,3,3,3,3,3,probably will,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1.875,1
61,regular residence,2,male,70,1,1,1,1,1,1,1,1,early adopters,1,3,3,3,3,3,3,3,likely to,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1.75,0
62,regular residence,2,female,56,1,1,1,1,1,1,1,1,early majority,4,4,3,3,2,3,4,5,likely to,3,3,2,2,1,2,3,4,0,0,0,0,0,0,0,0,2.5,0
64,regular residence,2,female,44,1,1,1,1,1,1,1,1,early majority,1,5,5,5,5,5,5,5,probably will,0,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,3.5,0
66,small residence,2,male,43,2,1,2,1,1,3,1,1,early majority,5,5,5,3,5,5,5,3,definitely not,4,4,4,2,4,4,4,2,1,0,1,0,0,2,0,0,3.5,0.5
67,regular residence,2,female,35,2,2,2,2,3,3,2,2,early majority,3,4,4,3,5,5,5,5,probably not,2,3,3,2,4,4,4,4,1,1,1,1,2,2,1,1,3.25,1.25
68,regular residence,2,male,43,4,4,4,4,4,4,4,4,early majority,3,5,5,3,5,5,5,4,likely to,2,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3.375,3
69,regular residence,2,male,24,1,1,1,3,1,1,3,1,early majority,3,4,4,3,4,4,4,4,probably will,2,3,3,2,3,3,3,3,0,0,0,2,0,0,2,0,2.75,0.5
70,small residence,2,female,36,3,3,3,3,3,3,3,3,late majority,4,4,5,3,4,5,5,5,probably not,3,3,4,2,3,4,4,4,2,2,2,2,2,2,2,2,3.375,2
71,regular residence,2,female,19,3,2,3,4,4,3,5,3,early majority,3,5,4,3,5,5,5,4,definitely not,2,4,3,2,4,4,4,3,2,1,2,3,3,2,4,2,3.25,2.375
72,regular residence,2,female,60,3,1,1,1,3,1,2,1,early majority,4,4,4,3,5,4,4,4,probably will,3,3,3,2,4,3,3,3,2,0,0,0,2,0,1,0,3,0.625
73,small residence,2,female,26,1,1,1,1,1,1,1,1,early adopters,5,5,4,4,5,5,5,4,probably not,4,4,3,3,4,4,4,3,0,0,0,0,0,0,0,0,3.625,0
74,regular residence,2,male,36,1,1,1,1,1,1,1,1,late majority,5,4,5,1,5,5,5,1,probably will,4,3,4,0,4,4,4,0,0,0,0,0,0,0,0,0,2.875,0
75,regular residence,2,male,50,3,1,1,1,3,3,3,2,early adopters,1,5,5,1,5,5,5,5,probably will,0,4,4,0,4,4,4,4,2,0,0,0,2,2,2,1,3,1.125
76,small residence,2,female,65,1,1,2,1,1,2,2,2,laggards,5,4,5,4,5,5,5,4,probably not,4,3,4,3,4,4,4,3,0,0,1,0,0,1,1,1,3.625,0.5
77,small residence,2,female,80,2,2,2,2,2,2,2,2,laggards,3,3,3,3,3,4,4,4,probably will,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,2.375,1
78,small residence,2,female,41,1,1,1,1,2,2,1,1,laggards,2,2,2,3,2,3,2,2,probably not,1,1,1,2,1,2,1,1,0,0,0,0,1,1,0,0,1.25,0.25
79,regular residence,2,female,56,3,2,2,2,2,3,2,2,late majority,3,3,4,3,3,4,4,3,probably not,2,2,3,2,2,3,3,2,2,1,1,1,1,2,1,1,2.375,1.25
80,regular residence,2,female,61,1,1,1,1,1,1,1,1,late majority,1,2,2,2,3,4,3,2,definitely not,0,1,1,1,2,3,2,1,0,0,0,0,0,0,0,0,1.375,0
81,regular residence,2,not answer,21,1,1,1,1,1,1,1,1,early majority,5,5,5,4,5,4,5,4,definitely not,4,4,4,3,4,3,4,3,0,0,0,0,0,0,0,0,3.625,0
82,regular residence,2,male,58,1,1,1,1,1,1,1,1,laggards,4,4,4,3,5,5,5,5,definitely not,3,3,3,2,4,4,4,4,0,0,0,0,0,0,0,0,3.375,0
83,regular residence,2,female,62,2,3,3,3,2,2,4,2,late majority,4,4,5,3,5,4,3,2,probably will,3,3,4,2,4,3,2,1,1,2,2,2,1,1,3,1,2.75,1.625
84,regular residence,2,male,70,1,2,2,2,2,1,2,2,late majority,3,3,4,3,4,4,4,4,probably will,2,2,3,2,3,3,3,3,0,1,1,1,1,0,1,1,2.625,0.75
86,regular residence,2,female,51,3,3,4,4,4,3,4,2,early majority,3,4,4,4,4,4,4,4,definitely going to,2,3,3,3,3,3,3,3,2,2,3,3,3,2,3,1,2.875,2.375
88,regular residence,2,male,24,1,1,1,1,1,1,1,1,laggards,3,3,5,3,5,5,5,3,probably not,2,2,4,2,4,4,4,2,0,0,0,0,0,0,0,0,3,0
89,regular residence,2,female,42,1,1,1,2,1,1,1,1,early majority,2,4,3,2,3,4,4,4,likely to,1,3,2,1,2,3,3,3,0,0,0,1,0,0,0,0,2.25,0.125
90,regular residence,2,female,39,1,1,1,1,1,1,1,1,late majority,3,3,3,3,5,5,4,3,probably will,2,2,2,2,4,4,3,2,0,0,0,0,0,0,0,0,2.625,0
91,regular residence,2,female,26,2,1,1,1,2,1,1,1,early adopters,3,5,5,2,5,5,5,5,definitely not,2,4,4,1,4,4,4,4,1,0,0,0,1,0,0,0,3.375,0.25
92,regular residence,2,female,25,1,1,1,1,1,1,1,1,laggards,4,5,5,5,5,5,5,5,definitely not,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,3.875,0
93,regular residence,2,female,59,2,1,1,1,1,1,1,1,laggards,2,4,3,4,5,5,5,3,probably will,1,3,2,3,4,4,4,2,1,0,0,0,0,0,0,0,2.875,0.125
94,regular residence,2,female,40,2,2,2,3,3,2,2,2,early majority,3,3,3,3,4,4,4,4,probably will,2,2,2,2,3,3,3,3,1,1,1,2,2,1,1,1,2.5,1.25
96,regular residence,2,male,53,3,1,1,1,1,1,1,2,late majority,4,5,4,5,5,5,5,5,likely to,3,4,3,4,4,4,4,4,2,0,0,0,0,0,0,1,3.75,0.375
98,regular residence,2,male,27,2,3,3,2,3,2,3,2,early majority,3,4,4,4,4,4,4,4,likely to,2,3,3,3,3,3,3,3,1,2,2,1,2,1,2,1,2.875,1.5
100,small residence,2,male,42,1,1,1,1,1,1,1,1,early majority,5,4,4,3,4,3,4,3,probably will,4,3,3,2,3,2,3,2,0,0,0,0,0,0,0,0,2.75,0
101,regular residence,2,male,43,2,2,3,2,3,3,3,2,late majority,3,3,3,3,3,3,3,3,likely to,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1.5
102,regular residence,2,female,48,1,1,1,1,1,1,1,1,early majority,2,4,3,3,5,5,4,2,probably not,1,3,2,2,4,4,3,1,0,0,0,0,0,0,0,0,2.5,0
103,regular residence,2,male,40,1,1,2,1,2,1,1,2,early majority,4,4,4,4,5,5,5,5,probably will,3,3,3,3,4,4,4,4,0,0,1,0,1,0,0,1,3.5,0.375
104,small residence,2,female,34,2,2,2,2,2,2,2,2,early majority,3,5,5,4,5,5,5,4,definitely going to,2,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,3.5,1
105,regular residence,2,female,30,1,1,1,1,1,1,1,1,early adopters,2,3,2,1,1,4,4,3,likely to,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,1.5,0
106,regular residence,2,female,24,1,1,1,1,1,1,1,1,late majority,2,4,4,3,3,3,4,4,probably not,1,3,3,2,2,2,3,3,0,0,0,0,0,0,0,0,2.375,0
108,regular residence,2,male,27,1,1,1,1,1,1,1,1,late majority,4,3,3,4,3,2,3,4,probably will,3,2,2,3,2,1,2,3,0,0,0,0,0,0,0,0,2.25,0
109,small residence,2,male,65,3,2,3,2,2,2,2,2,early majority,3,4,4,2,4,4,4,3,probably will,2,3,3,1,3,3,3,2,2,1,2,1,1,1,1,1,2.5,1.25
110,regular residence,2,female,41,4,3,3,3,3,3,3,3,early majority,3,5,5,3,5,5,3,3,likely to,2,4,4,2,4,4,2,2,3,2,2,2,2,2,2,2,3,2.125
111,regular residence,2,female,57,1,1,1,1,1,1,1,1,late majority,4,4,2,2,2,4,4,4,probably will,3,3,1,1,1,3,3,3,0,0,0,0,0,0,0,0,2.25,0
114,small residence,2,male,54,1,1,1,1,1,1,1,1,early majority,4,4,4,2,5,1,3,2,probably not,3,3,3,1,4,0,2,1,0,0,0,0,0,0,0,0,2.125,0
115,regular residence,2,male,67,1,1,1,1,1,1,1,1,late majority,1,2,2,2,3,4,4,4,probably will,0,1,1,1,2,3,3,3,0,0,0,0,0,0,0,0,1.75,0
116,regular residence,2,female,65,1,1,1,1,1,1,1,1,early majority,2,1,2,1,2,3,4,5,probably will,1,0,1,0,1,2,3,4,0,0,0,0,0,0,0,0,1.5,0
117,regular residence,2,female,31,1,1,1,1,1,1,1,1,early majority,3,3,5,1,5,5,5,5,probably will,2,2,4,0,4,4,4,4,0,0,0,0,0,0,0,0,3,0
121,regular residence,2,female,24,2,2,3,3,3,4,3,2,early adopters,4,4,5,3,3,4,4,4,likely to,3,3,4,2,2,3,3,3,1,1,2,2,2,3,2,1,2.875,1.75
